distance_kpc,ra_center,dec_center,radius_deg,radius_pc,n_members,source_file
2.23872113856834,323.4009465680982,-0.8563608098110765,0.218971713530849,8.555893784778888,112,cluster_d2.24kpc_ra323.4009_dec-0.8564_id1.csv
2.23872113856834,80.59753984932607,-69.66314317904487,1.2644081814039467,49.404290290551764,2881,cluster_d2.24kpc_ra80.5975_dec-69.6631_id2.csv
2.23872113856834,12.559487820744037,-73.0711835016466,0.3400946686587948,13.288537660387261,315,cluster_d2.24kpc_ra12.5595_dec-73.0712_id3.csv
2.23872113856834,6.023788359564844,-72.07950702905616,0.3787490512692401,14.798882474328636,993,cluster_d2.24kpc_ra6.0238_dec-72.0795_id4.csv
2.511886431509582,323.37883581146554,-0.8360181837320033,0.21321217894745068,9.347368757037488,123,cluster_d2.51kpc_ra323.3788_dec-0.8360_id1.csv
2.511886431509582,12.604751733861386,-73.09227869945376,0.4029160252380941,17.66411602101082,492,cluster_d2.51kpc_ra12.6048_dec-73.0923_id2.csv
2.511886431509582,6.025811461415851,-72.07894018318507,0.3618786173504077,15.865007798146562,1535,cluster_d2.51kpc_ra6.0258_dec-72.0789_id3.csv
2.511886431509582,15.802270783902024,-70.84875083528837,0.2590365389233071,11.356340256058328,144,cluster_d2.51kpc_ra15.8023_dec-70.8488_id4.csv
2.8183829312644546,323.37416329349554,-0.832930478846196,0.20171804000074678,9.922522840210519,109,cluster_d2.82kpc_ra323.3742_dec-0.8329_id1.csv
2.8183829312644546,84.19138220209739,-70.19501517719245,0.2450732723341191,12.055169395119181,232,cluster_d2.82kpc_ra84.1914_dec-70.1950_id2.csv
2.8183829312644546,12.594727975445794,-73.08347888201823,0.41667128058581315,20.496086014206714,572,cluster_d2.82kpc_ra12.5947_dec-73.0835_id3.csv
2.8183829312644546,6.028600500023581,-72.08073067738648,0.4056091308289645,19.951938184772352,2740,cluster_d2.82kpc_ra6.0286_dec-72.0807_id4.csv
2.8183829312644546,15.80640783315596,-70.85999001299521,0.1881407107454472,9.25465317597885,114,cluster_d2.82kpc_ra15.8064_dec-70.8600_id5.csv
3.162277660168379,323.3653347876679,-0.8239445597808502,0.18959282936505745,10.464037210495455,99,cluster_d3.16kpc_ra323.3653_dec-0.8239_id1.csv
3.162277660168379,84.16074324530506,-70.1928284393758,0.2183437945042398,12.050864993284533,214,cluster_d3.16kpc_ra84.1607_dec-70.1928_id2.csv
3.162277660168379,12.803389161634918,-73.02102790463671,0.2770443109454459,15.290673114578851,414,cluster_d3.16kpc_ra12.8034_dec-73.0210_id3.csv
3.162277660168379,6.000052788242629,-72.07740925345868,0.45181856933038894,24.936841428547023,4563,cluster_d3.16kpc_ra6.0001_dec-72.0774_id4.csv
3.162277660168379,15.834415213308551,-70.85293144018817,0.15865711665311716,8.756628496595004,100,cluster_d3.16kpc_ra15.8344_dec-70.8529_id5.csv
3.548133892335757,323.3666944001446,-0.8272825026848624,0.1381819479531155,8.557140805274802,86,cluster_d3.55kpc_ra323.3667_dec-0.8273_id1.csv
3.548133892335757,84.3077384895599,-70.20936753175033,0.10202864870884104,6.318289227401118,69,cluster_d3.55kpc_ra84.3077_dec-70.2094_id2.csv
3.548133892335757,78.64095073825564,-69.28256637206181,0.3512223714848157,21.750013885879213,652,cluster_d3.55kpc_ra78.6410_dec-69.2826_id3.csv
